DateTime,stationId,temp_value,humidity_value,rainfall_value
2024-03-31T18:59:59,S107,28.46248144,78.67770531,0
2024-03-31T17:59:59,S107,28.46248144,78.67770531,0
2024-03-31T16:59:59,S107,28.46248144,78.67770531,0
2024-03-31T15:59:59,S107,28.46248144,78.67770531,0
2024-03-31T14:59:59,S107,28.46248144,78.67770531,0
2024-03-31T13:59:59,S107,28.46248144,78.67770531,0
2024-03-31T12:59:59,S107,28.46248144,78.67770531,0
2024-03-31T11:59:59,S107,28.46248144,78.67770531,0
2024-03-31T10:59:59,S107,28.46248144,78.67770531,0
2024-03-31T09:59:59,S107,28.46248144,78.67770531,0
2024-03-31T08:59:59,S107,28.46248144,78.67770531,0
2024-03-31T07:59:59,S107,28.46248144,78.67770531,0
2024-03-31T06:59:59,S107,28.46248144,78.67770531,0
2024-03-31T05:59:59,S107,28.46248144,78.67770531,0
2024-03-31T04:59:59,S107,28.46248144,78.67770531,0
2024-03-31T03:59:59,S107,28.46248144,78.67770531,0
2024-03-31T02:59:59,S107,28.46248144,78.67770531,0
2024-03-31T01:59:59,S107,28.46248144,78.67770531,0
2024-03-31T00:59:59,S107,28.46248144,78.67770531,0
2024-03-30T23:59:59,S107,28.46248144,78.67770531,0
2024-03-30T22:59:59,S107,28.46248144,78.67770531,0
2024-03-30T21:59:59,S107,28.46248144,78.67770531,0
2024-03-30T20:59:59,S107,28.46248144,78.67770531,0
2024-03-30T19:59:59,S107,28.46248144,78.67770531,0
2024-03-30T18:59:59,S107,28.46248144,78.67770531,0
2024-03-30T17:59:59,S107,28.46248144,78.67770531,0
2024-03-30T16:59:59,S107,28.46248144,78.67770531,0
2024-03-30T15:59:59,S107,28.46248144,78.67770531,0
2024-03-30T14:59:59,S107,28.46248144,78.67770531,0
2024-03-30T13:59:59,S107,28.46248144,78.67770531,0
2024-03-30T12:59:59,S107,28.46248144,78.67770531,0
2024-03-30T11:59:59,S107,28.46248144,78.67770531,0
2024-03-30T10:59:59,S107,28.46248144,78.67770531,0
2024-03-30T09:59:59,S107,28.46248144,78.67770531,0
2024-03-30T08:59:59,S107,28.46248144,78.67770531,0
2024-03-30T07:59:59,S107,28.46248144,78.67770531,0
2024-03-30T06:59:59,S107,28.46248144,78.67770531,0
2024-03-30T05:59:59,S107,28.46248144,78.67770531,0
2024-03-30T04:59:59,S107,28.46248144,78.67770531,0
2024-03-30T03:59:59,S107,28.46248144,78.67770531,0
2024-03-30T02:59:59,S107,28.46248144,78.67770531,0
2024-03-30T01:59:59,S107,28.46248144,78.67770531,0
2024-03-30T00:59:59,S107,28.46248144,78.67770531,0
2024-03-29T23:59:59,S107,28.46248144,78.67770531,0
2024-03-29T22:59:59,S107,28.46248144,78.67770531,0
2024-03-29T21:59:59,S107,28.46248144,78.67770531,0
2024-03-29T20:59:59,S107,28.46248144,78.67770531,0
2024-03-29T19:59:59,S107,28.46248144,78.67770531,0
2024-03-29T18:59:59,S107,28.46248144,78.67770531,0
2024-03-29T17:59:59,S107,28.46248144,78.67770531,0
2024-03-29T16:59:59,S107,28.46248144,78.67770531,0
2024-03-29T15:59:59,S107,28.46248144,78.67770531,0
2024-03-29T14:59:59,S107,28.46248144,78.67770531,0
2024-03-29T13:59:59,S107,28.46248144,78.67770531,0
2024-03-29T12:59:59,S107,28.46248144,78.67770531,0
2024-03-29T11:59:59,S107,28.46248144,78.67770531,0
2024-03-29T10:59:59,S107,28.46248144,78.67770531,0
2024-03-29T09:59:59,S107,28.46248144,78.67770531,0
2024-03-29T08:59:59,S107,28.46248144,78.67770531,0
2024-03-29T07:59:59,S107,28.46248144,78.67770531,0
2024-03-29T06:59:59,S107,28.46248144,78.67770531,0
2024-03-29T05:59:59,S107,28.46248144,78.67770531,0
2024-03-29T04:59:59,S107,28.46248144,78.67770531,0
2024-03-29T03:59:59,S107,28.46248144,78.67770531,0
2024-03-29T02:59:59,S107,28.46248144,78.67770531,0
2024-03-29T01:59:59,S107,28.46248144,78.67770531,0
2024-03-29T00:59:59,S107,28.46248144,78.67770531,0
2024-03-28T23:59:59,S107,28.46248144,78.67770531,0
2024-03-28T22:59:59,S107,28.46248144,78.67770531,0
2024-03-28T21:59:59,S107,28.46248144,78.67770531,0
2024-03-28T20:59:59,S107,28.46248144,78.67770531,0
2024-03-28T19:59:59,S107,28.46248144,78.67770531,0
2024-03-28T18:59:59,S107,28.46248144,78.67770531,0
2024-03-28T17:59:59,S107,28.46248144,78.67770531,0
2024-03-28T16:59:59,S107,28.46248144,78.67770531,0
2024-03-28T15:59:59,S107,28.46248144,78.67770531,0
2024-03-28T14:59:59,S107,28.46248144,78.67770531,0
2024-03-28T13:59:59,S107,28.46248144,78.67770531,0
2024-03-28T12:59:59,S107,28.46248144,78.67770531,0
2024-03-28T11:59:59,S107,28.46248144,78.67770531,0
2024-03-28T10:59:59,S107,28.46248144,78.67770531,0
2024-03-28T09:59:59,S107,28.46248144,78.67770531,0
2024-03-28T08:59:59,S107,28.46248144,78.67770531,0
2024-03-28T07:59:59,S107,28.46248144,78.67770531,0
2024-03-28T06:59:59,S107,28.46248144,78.67770531,0
